"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2170298","true","-1","N/A",,"false","2170298","true",,"false","505285",,"505285","6","false","false",
"C","A","20090101","2009","52","2009","8","ALB","Albania","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false","11",,"11","0","true","false",
"C","A","20090101","2009","52","2009","12","DZA","Algeria","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14147","false","-1","N/A",,"false","14147","false",,"false","12231",,"12231","0","true","false",
"C","A","20090101","2009","52","2009","24","AGO","Angola","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34977","false","-1","N/A",,"false","34977","false",,"false","27821",,"27821","0","true","false",
"C","A","20090101","2009","52","2009","28","ATG","Antigua and Barbuda","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","484","false","-1","N/A",,"false","484","false",,"false","182",,"182","0","false","false",
"C","A","20090101","2009","52","2009","36","AUS","Australia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1507371","false","-1","N/A",,"false","1507371","false",,"false",,"1310370","1310370","0","true","false",
"C","A","20090101","2009","52","2009","40","AUT","Austria","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29000","false","-1","N/A",,"false","29000","false",,"false","42195",,"42195","0","true","false",
"C","A","20090101","2009","52","2009","51","ARM","Armenia","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10","false","-1","N/A",,"false","10","false",,"false","300",,"300","0","true","false",
"C","A","20090101","2009","52","2009","56","BEL","Belgium","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7275651","false","-1","N/A",,"false","7275651","false",,"false","6457666",,"6457666","0","true","false",
"C","A","20090101","2009","52","2009","70","BIH","Bosnia Herzegovina","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1055","false","-1","N/A",,"false","1055","false",,"false","928",,"928","0","true","false",
"C","A","20090101","2009","52","2009","76","BRA","Brazil","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150","false","8","kg","150","false","150","false","0","false","83","41","83","0","false","true",
"C","A","20090101","2009","52","2009","96","BRN","Brunei Darussalam","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","28146","true","-1","N/A",,"false","28146","true",,"false","16958",,"16958","6","true","false",
"C","A","20090101","2009","52","2009","100","BGR","Bulgaria","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22339","false","-1","N/A",,"false","22339","false",,"false","3862",,"3862","0","true","false",
"C","A","20090101","2009","52","2009","120","CMR","Cameroon","M","Import","156","CHN","China","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","17","false","-1","N/A",,"false","17","false",,"false","58",,"58","0","true","false",
"C","A","20090101","2009","52","2009","124","CAN","Canada","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6556348","false","-1","N/A",,"false","6556348","false",,"false",,"6910308","6910308","0","true","false",
"C","A","20090101","2009","52","2009","144","LKA","Sri Lanka","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","358","false","-1","N/A",,"false","358","false",,"false","52",,"52","0","true","false",
"C","A","20090101","2009","52","2009","152","CHL","Chile","M","Import","156","CHN","China","0","W00","World","H3","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33395","false","8","kg","33395","false","33395","false","0","false","37605.68","35650.05","37605.68","0","false","true",
